antecedent,consequent,confidence,supAntecedent
spotify:track:7zxRMhXxJMQCeDDg0rKAVo,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.6666666666666666,12
spotify:track:7zsw78LtXUD7JfEwH64HK2,spotify:track:7tUSJY4nsDBJTjd1UXKRsT,1.0,7
spotify:track:7zsw78LtXUD7JfEwH64HK2,spotify:track:0zstgBrV1t1g6n4jHrUVBY,0.8571428571428571,7
spotify:track:7zsw78LtXUD7JfEwH64HK2,spotify:track:6btdYzQ8eZFBrOlUKVHuz0,0.8571428571428571,7
spotify:track:7zsw78LtXUD7JfEwH64HK2,spotify:track:0Q4a3PdGEME9w8Jgqa0Gf3,0.8571428571428571,7
spotify:track:7zsw78LtXUD7JfEwH64HK2,spotify:track:5VIfacsWytkcgr7aTt8Tql,0.8571428571428571,7
spotify:track:7zWj09xkFgA9tcV6YhfU6q,spotify:track:7wMq5n8mYSKlQIGECKUgTX,0.5454545454545454,11
spotify:track:7zVCrzzEJU7u24sbJPXA5W,spotify:track:7mldq42yDuxiUNn08nvzHO,0.75,8
spotify:track:7zVCrzzEJU7u24sbJPXA5W,spotify:track:10M2Ex445zw585Ducldzkw,0.75,8
spotify:track:7zNM46fo01dCBidY4yGNTZ,spotify:track:1yEwEiTpsaPhQi9lb5EVV4,0.625,8
spotify:track:7zNM46fo01dCBidY4yGNTZ,spotify:track:3xdjjKMcMOFgo1eQrfbogM,0.625,8
spotify:track:7zBPzAjKAqQpcv8F8GCq5s,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,0.5384615384615384,26
spotify:track:7yfg0Eer6UZZt5tZ1XdsWz,spotify:track:0m1KYWlT6LhFRBDVq9UNx4,0.6363636363636364,11
spotify:track:7yMnml7zdYl5LlDFZPm5Hd,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,0.7222222222222222,18
spotify:track:7yHEDfrJNd0zWOfXwydNH0,spotify:track:0azC730Exh71aQlOt9Zj3y,0.52,25
spotify:track:7y6c07pgjZvtHI9kuMVqk1,spotify:track:7hDc8b7IXETo14hHIHdnhd,0.6428571428571429,14
spotify:track:7xYnUQigPoIDAMPVK79NEq,spotify:track:0XUfyU2QviPAs6bxSpXYG4,0.7272727272727273,11
