0,1
frozenset({'spotify:album:0038RxUVJ1RFV3BT1Ljyj0'}),['spotify:track:0D4ZDFhwclf2FxZb5wm3qm']
frozenset({'spotify:album:003sFH4G9RLE253AFIJ0YJ'}),['spotify:track:5ahvjrjn7ymaeaWKFZrsca']
frozenset({'spotify:album:004EYz2DQttcGvyTQGDmLp'}),"['spotify:track:7LxsehOTDXTpsuWAMWXe9o', 'spotify:track:4STCTQ1h0VuWfvDyhGOxkv']"
frozenset({'spotify:album:004VEDgEWpB9XUuCnj0Ddr'}),['spotify:track:20Bq3bQWFKZA8NOodSSSfG']
frozenset({'spotify:album:004VMMAKhGnFcep6ymPqS1'}),"['spotify:track:7CeTNlKnCbNBzkXA7nmcVG', 'spotify:track:4Yggt5XlzJMvrSuxH5F0wh', 'spotify:track:5RdkASZW5AspCaj7HQ17PP']"
frozenset({'spotify:album:008GW0L0wtSqqFW2jprVCC'}),['spotify:track:3VmWsrEdKlcLe19RdGmwb0']
frozenset({'spotify:album:008YlPoRP6UXxI7L5rKzuZ'}),['spotify:track:1tkRrjk71WZXeKbvw12PuV']
frozenset({'spotify:album:009lBg76AFxbQdUccyVaMB'}),"['spotify:track:2lQEi4jFC6bkKZ9yxpTH1o', 'spotify:track:4L2FyyBycceR9ZEmBgjECG', 'spotify:track:73E0RPN8zBQqQhrkBPptTX', 'spotify:track:0zdqJsRmNjy2Vsh7vAEXtx', 'spotify:track:17jGNxcjuZCHlMJmvyvCGr', 'spotify:track:2LJYMVG7W7mk7PZqt8fVhT', 'spotify:track:5CAoIVbVmWl79KcZTlVDHF']"
frozenset({'spotify:album:00AUKHg8Me0Yz8tSYSY5Oh'}),['spotify:track:4HLGxkESpJENfKNmA63npC']
frozenset({'spotify:album:00B6TWk6ykE81Itf5InD4I'}),['spotify:track:2KJkMXZKvvV4jDdu8UM44e']
frozenset({'spotify:album:00D8UYGEx75ePrOK9LJKHh'}),"['spotify:track:6qiPWcr6ma4spRDmgus96u', 'spotify:track:6HTWFypFcJBTFVbmgZ2Mpm']"
frozenset({'spotify:album:00DKLvomMIGBjB3NvYDWfU'}),"['spotify:track:4l5lF04xjhTfYSopCXc4FU', 'spotify:track:2fSbp8VMrsGC9pjaYSmSJV', 'spotify:track:4Vj8hGoO3nXr8PUA0bKyT6']"
frozenset({'spotify:album:00DpCtHn284WiPNunv1QG8'}),['spotify:track:5rJw9VsPNdfnV9Ar97xZG2']
frozenset({'spotify:album:00EZ3edHfcpcHJpRl3QcQX'}),"['spotify:track:5TXAySV8WBjAIMg3lPDCLN', 'spotify:track:4eSPgp7BuS9Yi4agcV4sAw', 'spotify:track:0KG3m0KDzDg7uLHqtfTvpJ']"
frozenset({'spotify:album:00GTXwYxb2MB1zCbdIMHYL'}),['spotify:track:1UKEueOawhRoXqtUqiJKgS']
frozenset({'spotify:album:00GtaC7EzRjQHuzsxE1Cw6'}),['spotify:track:1sIvt9EzxMjirCWdH5mJcF']
frozenset({'spotify:album:00IoivhdbXtPGbzDdCjxMA'}),['spotify:track:6muLvIftRgdqGU16Mx5wMf']
frozenset({'spotify:album:00JpoY0ZaQRXTNJUruibfX'}),['spotify:track:4i8xlL0EqaSj9piUVUOQQO']
frozenset({'spotify:album:00LOUiA5823qxkOcHiio0W'}),['spotify:track:37nXsqE1XW0cxOQvIMsmFc']
frozenset({'spotify:album:00N0PKZnGha0hFnUF6IZ5k'}),['spotify:track:0PwPkm93L2dbWWmboTVwpq']
