0,1
frozenset({'spotify:artist:006Mv4bnAJGVnasH1pbDEO'}),['spotify:track:56sreEUrAes3e5dFhTMm8S']
frozenset({'spotify:artist:007pt2ONVI5ZWisox0DoP3'}),['spotify:track:6O2cUoD35CeRQkIHhXmyuP']
frozenset({'spotify:artist:007v73u6rZJTbjSxk7kEHv'}),['spotify:track:1N7PE2gj4XDakQ0n21lHPw']
frozenset({'spotify:artist:009IKtLg2rg2QMbvNtWaoh'}),['spotify:track:4g5dxNxjmQjMwwyKmxIseI']
frozenset({'spotify:artist:00BueEoowSUVGZoCR5yIRL'}),['spotify:track:2lH6RlA7NA2CcTfyEsONTc']
frozenset({'spotify:artist:00DkRCKgM6Ku90WtOfoYlw'}),['spotify:track:0bILFzh7lf1yF6aYzpLKa9']
frozenset({'spotify:artist:00FQb4jTyendYWaN8pK0wa'}),"['spotify:track:2nMeu6UenVvwUktBCpLMK9', 'spotify:track:6D5pfooPP6hi99RaXjkDsP', 'spotify:track:0fBSs3fRoh1yJcne77fdu9', 'spotify:track:4xyNG8vZR3g8FnphVkbjRo', 'spotify:track:3BJe4B8zGnqEdQPMvfVjuS', 'spotify:track:35WhawODuOs0kaHxwmPA9D', 'spotify:track:4Ouhoi2lAhrLJKFzUqEzwl', 'spotify:track:0mt02gJ425Xjm7c3jYkOBn', 'spotify:track:1Lw2xRuW5fcieRPfoskgog', 'spotify:track:2vtmY2mSccRzKGjtcHSzI3', 'spotify:track:6qqdFWe7C4LsBjWbXQdsHA', 'spotify:track:3uUCgL0cbSd0isnqhHCm1f', 'spotify:track:4RyK6N4IQ85xxLgguQAFH5', 'spotify:track:7cNz65PfCatRXoX7QtqM2A', 'spotify:track:3taCbWWTilb7eNMsAzOBq4', 'spotify:track:5QqyRUZeBE04yJxsD1OC0I', 'spotify:track:6g4RVB6qiuySTw9FCV1HEM', 'spotify:track:7yFMhCJOsH7khgpdnyrZAZ', 'spotify:track:24h1notzzKOcLZSdRYa7yn', 'spotify:track:4MDpkzAyG2X0dmtOU0ZESX', 'spotify:track:7LQKuOaqJrNgVIGLFnfvdn', 'spotify:track:5SzoFexynLVceTLggJTZZM', 'spotify:track:01xAq8HMYTNqmsbH0ZvPMl', 'spotify:track:4uhSo9cVBVpdDCNxf4MBaP', 'spotify:track:1FaHPLv48VjsTkPCQOH7bv', 'spotify:track:3d90ERLBxR3o44o4r9hWTl', 'spotify:track:3I5azi0831uNpYQsfYsW7G', 'spotify:track:7E8A5k5VOhPmt6pGPDJhxQ', 'spotify:track:4mq14Qa6OehdiyZFtHcdCH', 'spotify:track:1Yfgbr2kZrb3u0NP8ioyuk', 'spotify:track:2rldjI2fK6nYwlMgaITluf', 'spotify:track:6IfPyMb0Sxptpx6jBUATOS', 'spotify:track:03hqMhmCZiNKMSPmVabPLP', 'spotify:track:0iQPnK3bi7O27c5T2HBTdr', 'spotify:track:2yKqqZQOYhzAfmU0ye6tVQ', 'spotify:track:5ZyM4VMzHSaz8OlIZRuZBH', 'spotify:track:3sYDVtqO35oRSOIMx7dOqR', 'spotify:track:6swBtLlqbXVbtVFeHZnI5X', 'spotify:track:1y3r6RXiJZNBV1EI0NggpS', 'spotify:track:4VSg5K1hnbmIg4PwRdY6wV', 'spotify:track:70Laus6ozJIHDpfTtUSmAZ', 'spotify:track:1NZs6n6hl8UuMaX0UC0YTz', 'spotify:track:7vHmfnKJMWYWzS1H3dC5VF', 'spotify:track:3OJXEtI2LzDt5uEWK7jjrG', 'spotify:track:11MyiSGZSYSmhhqwGUTtAq', 'spotify:track:6ny7kbH529rZfHp4UFVDiP', 'spotify:track:4BAVTojXyfCpQM9myiyTiR', 'spotify:track:7Ms58r8G6Y0r1XLtpwoGxN', 'spotify:track:2XoJLY62n0akvhs1PIYnlO', 'spotify:track:6PnluwP0fjGnpIBsqTdUTq', 'spotify:track:3lWdN5LJV67EwGuzJeNHsj', 'spotify:track:7ADy9yJrXpirn1IrWo6jBq', 'spotify:track:1KuVEZR4xuQVNr1KkanAV4', 'spotify:track:2C34YCOZWYZaDUG6kzkC25', 'spotify:track:5R65WfxdtxpTNSIloTfIdM', 'spotify:track:4aBDS6611oBs5LBiVMuQmh', 'spotify:track:4xIzFwbnxTAZRrPnIUm4y2', 'spotify:track:20BtSFYTjGeUKq78qCUVsg', 'spotify:track:63hHlajVLQnlFMAqSyePxO', 'spotify:track:0iq0P0HYtpChhUNH5KuqQK']"
frozenset({'spotify:artist:00G1NTDAoU7rBpjG4KoYAM'}),['spotify:track:7I5ClTyivA4aMBueJofvUl']
frozenset({'spotify:artist:00IjdWQ46sSBP4gZYObAMx'}),['spotify:track:32IpXBKVD4ED5jIy9o9Uvs']
frozenset({'spotify:artist:00OF0nwYaoBSO3AnPVq3vE'}),['spotify:track:1GJNXjCzhaqivYTKVvm5lh']
